ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,version,Size,Length,Contribution_ID,Date_Updated
8fe5fd980e76e0d7ffc2c5a7227f62b4,annotation-notes.pdf,,application/pdf,media/annotation-notes.pdf,,,179308,,,
9e134d1be1cd699f34dacb5db639bbf8,image.jpg,,image/jpeg,media/image.jpg,,,78840,,,
d3cf6471e968843d5933588bd014b1a0,metadata.pdf,,application/pdf,media/metadata.pdf,,,242644,,,
e5ce3f084d52061b7d620c09a869a797,translated-texts.pdf,,application/pdf,media/translated-texts.pdf,,,255429,,,
g1-f-01_mp3,mc_persian_g1-f-01.mp3,,audio/mpeg,media/mc_persian_g1-f-01.mp3,,,1515519,94.693878,g1-f-01,
g1-f-01_wav,mc_persian_g1-f-01.wav,,audio/x-wav,media/mc_persian_g1-f-01.wav,,,16700416,94.66775510204081,g1-f-01,
g1-f-01_eaf,mc_persian_g1-f-01.eaf,,application/eaf+xml,media/mc_persian_g1-f-01.eaf,,,215255,,g1-f-01,
g1-f-01_xml,mc_persian_g1-f-01.xml,,application/xml,media/mc_persian_g1-f-01.xml,,,44949,,g1-f-01,
g1-f-01_tsv,mc_persian_g1-f-01.tsv,,text/tab-separated-values,media/mc_persian_g1-f-01.tsv,,,15268,,g1-f-01,
g1-f-02_mp3,mc_persian_g1-f-02.mp3,,audio/mpeg,media/mc_persian_g1-f-02.mp3,,,2090630,130.638367,g1-f-02,
g1-f-02_wav,mc_persian_g1-f-02.wav,,audio/x-wav,media/mc_persian_g1-f-02.wav,,,23041024,130.6122448979592,g1-f-02,
g1-f-02_eaf,mc_persian_g1-f-02.eaf,,application/eaf+xml,media/mc_persian_g1-f-02.eaf,,,263236,,g1-f-02,
g1-f-02_xml,mc_persian_g1-f-02.xml,,application/xml,media/mc_persian_g1-f-02.xml,,,54942,,g1-f-02,
g1-f-02_tsv,mc_persian_g1-f-02.tsv,,text/tab-separated-values,media/mc_persian_g1-f-02.tsv,,,18193,,g1-f-02,
g1-f-05_mp3,mc_persian_g1-f-05.mp3,,audio/mpeg,media/mc_persian_g1-f-05.mp3,,,2164609,135.262041,g1-f-05,
g1-f-05_wav,mc_persian_g1-f-05.wav,,audio/x-wav,media/mc_persian_g1-f-05.wav,,,23857016,135.22063492063492,g1-f-05,
